2024-05-05 16:20:44,051,Step: 245, Action: 0, Reward: -5.399999999999999, Observation: [52  6  6 27  0], Done: False
2024-05-05 16:20:44,061,Step: 250, Action: 1, Reward: -5.700000000000001, Observation: [53  5  9 28  1], Done: False
2024-05-05 16:20:44,146,Step: 255, Action: 0, Reward: -7.199999999999999, Observation: [55  6 11 29  0], Done: True
2024-05-05 16:20:44,682,Episode Start - Observation: [0 0 0 0 0]
2024-05-05 16:20:44,701,Step: 5, Action: 1, Reward: 10.5, Observation: [2 0 1 0 1], Done: False
2024-05-05 16:20:44,708,Step: 10, Action: 4, Reward: 10.7, Observation: [3 1 1 0 4], Done: False
2024-05-05 16:20:44,715,Step: 15, Action: 0, Reward: 10.8, Observation: [3 3 2 1 0], Done: False
2024-05-05 16:20:44,722,Step: 20, Action: 2, Reward: 10.9, Observation: [4 6 2 1 2], Done: False
2024-05-05 16:20:44,730,Step: 25, Action: 4, Reward: 10.5, Observation: [5 6 2 2 4], Done: False
2024-05-05 16:20:44,738,Step: 30, Action: 3, Reward: 11.3, Observation: [5 8 4 3 3], Done: False
2024-05-05 16:20:44,746,Step: 35, Action: 0, Reward: 11.1, Observation: [6 7 4 4 0], Done: False
2024-05-05 16:20:44,755,Step: 40, Action: 2, Reward: 11.1, Observation: [6 7 6 5 2], Done: False
2024-05-05 16:20:44,765,Step: 45, Action: 0, Reward: 10.3, Observation: [7 9 6 4 0], Done: False
2024-05-05 16:20:44,773,Step: 50, Action: 4, Reward: 9.4, Observation: [ 8 10  7  6  4], Done: False
2024-05-05 16:20:44,781,Step: 55, Action: 0, Reward: 8.9, Observation: [ 8 14  5  9  0], Done: False
2024-05-05 16:20:44,789,Step: 60, Action: 3, Reward: 9.2, Observation: [ 5 15  5 10  3], Done: False
2024-05-05 16:20:44,798,Step: 65, Action: 1, Reward: 9.3, Observation: [ 3 14  6 10  1], Done: False
2024-05-05 16:20:44,808,Step: 70, Action: 2, Reward: 11.1, Observation: [ 5  9  6 10  2], Done: False
